stamp,test,channel,gains,rate_hz,csv,joint,kp,kd,n,fs,rms_error,max_error,mean_error,chatter_dq,chatter_tau,peak_freq,rms_tau,max_tau,tau_headroom,amp,cost,zero_dq
20260904_161510,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161510.csv,L_shoulder_pitch,120.0,2.0,1845,244.61824755769905,4.115016620737284e-05,8.535385131835938e-05,-3.923297251466167e-05,0.010780532249142029,0.008944388884853053,22.80451955551449,0.1767314258409175,0.263671875,0.993408203125,,,
20260904_161510,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161510.csv,L_shoulder_roll,120.0,2.0,1845,244.61824755769905,1.9920724683100582e-05,5.9664249420166016e-05,-1.635396383642181e-05,0.014103426536781875,0.03793860791724956,9.280909121430316,0.24197784401144184,0.263671875,0.993408203125,,,
20260904_161510,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161510.csv,L_shoulder_yaw,80.0,1.5,1845,244.61824755769905,1.6720838355302632e-05,5.364418029785156e-05,-6.536158119759908e-06,0.016291426309825403,0.013289087098389092,94.26751979052793,0.11639199565947939,0.1677911877632141,0.9906782673464881,,,
20260904_161510,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161510.csv,L_elbow,50.0,1.0,1845,244.61824755769905,9.090487320609941e-06,2.574920654296875e-05,-3.2259519830305725e-06,0.009999432951199774,0.039242602649895035,97.84729902307961,0.24024134619570095,0.263671875,0.9853515625,,,
20260904_161510,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161510.csv,L_wrist_roll,50.0,1.0,1845,244.61824755769905,1.289535335142633e-05,3.62396240234375e-05,5.942760767329353e-06,0.007239234445835803,0.022349703221234835,39.51015597408906,0.05730436851066858,0.0625,0.9967105263157895,,,
20260904_161510,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161510.csv,L_wrist_pitch,50.0,1.0,1845,244.61824755769905,1.133677950396639e-05,3.62396240234375e-05,4.2083140634262785e-06,0.005672822536471309,0.0275446821410662,58.20455863297013,0.051956145516296424,0.0625,0.9967105263157895,,,
20260904_161510,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161510.csv,L_wrist_yaw,50.0,1.0,1845,244.61824755769905,1.3260627948236778e-05,3.600120544433594e-05,8.87485700571117e-06,0.008117920319530299,0.014333146638911914,9.280909121430316,0.060503337048777237,0.0625,0.9967105263157895,,,
20260904_161510,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161510.csv,R_shoulder_pitch,120.0,2.0,1845,244.61824755769905,5.967562411252558e-06,2.574920654296875e-05,1.8953307857358358e-06,0.008606506633388564,0.03899642563459678,20.418000067146696,0.21106449429205804,0.263671875,0.993408203125,,,
20260904_161510,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161510.csv,R_shoulder_roll,120.0,2.0,1845,244.61824755769905,8.916405326652956e-06,2.5510787963867188e-05,-2.1683814402841294e-07,0.007420498753213003,0.03822829537656448,12.065181857859411,0.2044135300514673,0.263671875,0.993408203125,,,
20260904_161510,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161510.csv,R_shoulder_yaw,80.0,1.5,1845,244.61824755769905,1.5566597753387874e-05,5.340576171875e-05,8.075993235518293e-06,0.013372242300256276,0.007894768701314218,116.80687051400155,0.1134411484771755,0.1677911877632141,0.9906782673464881,,,
20260904_161510,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161510.csv,R_elbow,50.0,1.0,1845,244.61824755769905,1.1613797077299297e-05,4.291534423828125e-05,9.58326386242378e-06,0.0066828210178067225,0.03151716565165514,88.168636653588,0.19822640558426005,0.263671875,0.9853515625,,,
20260904_161510,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161510.csv,R_wrist_roll,50.0,1.0,1845,244.61824755769905,1.1614261313448936e-05,3.600120544433594e-05,-4.763977960519352e-06,0.008979425262562034,0.01436438061697685,22.671935139494057,0.06045082437834641,0.0625,0.9967105263157895,,,
20260904_161510,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161510.csv,R_wrist_pitch,50.0,1.0,1845,244.61824755769905,8.584318372298693e-06,3.600120544433594e-05,-5.671002354402206e-07,0.008617954284665106,0.025442827810500206,12.728103937961576,0.05500446520430795,0.0625,0.9967105263157895,,,
20260904_161510,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161510.csv,R_wrist_yaw,50.0,1.0,1845,244.61824755769905,1.0376553648732549e-05,3.600120544433594e-05,-6.810242567605119e-06,0.00525275097692828,0.024854454816892767,13.39102601806374,0.05515821662987862,0.0625,0.9967105263157895,,,
20260904_161534,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161534.csv,L_shoulder_pitch,120.0,2.0,2364,247.37525138103828,1.4480101745325693e-05,5.14984130859375e-05,8.021917843374907e-06,0.009794656720911352,0.006297918483846527,70.63379639687007,0.17662504193860087,0.263671875,0.993408203125,,,
20260904_161534,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161534.csv,L_shoulder_roll,120.0,2.0,2364,247.37525138103828,1.2741856531116521e-05,5.1140785217285156e-05,-5.902246573653116e-06,0.014790601947796406,0.035706588482182444,67.18058857302309,0.2442092721541428,0.263671875,0.993408203125,,,
20260904_161534,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161534.csv,L_shoulder_yaw,80.0,1.5,2364,247.37525138103828,1.9810935700870354e-05,6.699562072753906e-05,-1.0950512894115674e-05,0.0167252824090174,0.009599755529431327,23.021385492313204,0.11431802582826853,0.1677911877632141,0.9906782673464881,,,
20260904_161534,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161534.csv,L_elbow,50.0,1.0,2364,247.37525138103828,9.273958427598862e-06,2.574920654296875e-05,-4.368586790339797e-06,0.009356872116413065,0.03649182134876538,121.17620181863042,0.24400848065570963,0.263671875,0.9853515625,,,
20260904_161534,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161534.csv,L_wrist_roll,50.0,1.0,2364,247.37525138103828,1.4113353452798595e-05,3.62396240234375e-05,7.330261914661492e-06,0.007718607054041288,0.02334912333019627,14.545329924688797,0.056967481893022184,0.0625,0.9967105263157895,,,
20260904_161534,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161534.csv,L_wrist_pitch,50.0,1.0,2364,247.37525138103828,2.0800080293529283e-05,4.8160552978515625e-05,1.830195412417959e-05,0.005582851724975657,0.028262228694015953,20.719246943081885,0.05120881717881006,0.0625,0.9967105263157895,,,
20260904_161534,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161534.csv,L_wrist_yaw,50.0,1.0,2364,247.37525138103828,1.2359354008798355e-05,3.600120544433594e-05,6.751058065346655e-06,0.00829842190155073,0.013725759857143931,12.661762020772263,0.06048463852468599,0.0625,0.9967105263157895,,,
20260904_161534,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161534.csv,R_shoulder_pitch,120.0,2.0,2364,247.37525138103828,8.213698467266054e-06,4.2438507080078125e-05,-5.813923785730869e-06,0.008306823670930932,0.038624343704949736,48.34490953385773,0.21201417597138916,0.263671875,0.993408203125,,,
20260904_161534,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161534.csv,R_shoulder_roll,120.0,2.0,2364,247.37525138103828,1.0536767467602623e-05,3.409385681152344e-05,-5.030591677489821e-06,0.008158032797149294,0.03917709665475971,52.2166880030195,0.20650982160744985,0.263671875,0.993408203125,,,
20260904_161534,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161534.csv,R_shoulder_yaw,80.0,1.5,2364,247.37525138103828,3.4316674512903974e-05,8.0108642578125e-05,-3.132824163549846e-05,0.014204250933396088,0.007792011229662377,47.19384025924207,0.11332985142402206,0.1677911877632141,0.9906782673464881,,,
20260904_161534,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161534.csv,R_elbow,50.0,1.0,2364,247.37525138103828,9.042755228403723e-06,2.574920654296875e-05,-6.201303549829473e-06,0.006567730787819929,0.032341425576992246,89.26019011337802,0.19457434572958462,0.263671875,0.9853515625,,,
20260904_161534,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161534.csv,R_wrist_roll,50.0,1.0,2364,247.37525138103828,1.5761289415851904e-05,4.792213439941406e-05,1.1063670950694334e-05,0.009337549339829191,0.014716254050034057,23.75388412161408,0.06019710380995583,0.0625,0.9967105263157895,,,
20260904_161534,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161534.csv,R_wrist_pitch,50.0,1.0,2364,247.37525138103828,9.036196547637338e-06,3.600120544433594e-05,-2.129882725362245e-06,0.008872119611956237,0.023691702933259,12.766404682100958,0.05566175780305441,0.0625,0.9967105263157895,,,
20260904_161534,hold,arm_sdk,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_161534.csv,R_wrist_yaw,50.0,1.0,2364,247.37525138103828,8.604332482988684e-06,3.600120544433594e-05,-3.912424678124752e-06,0.005233805451565074,0.02534481903757637,11.30140742349921,0.0551847334068439,0.0625,0.9967105263157895,,,
20260904_161553,step,arm_sdk,official_arm_sdk,250.0,step_L_wrist_yaw_kp50_kd1.0_20260904_161553.csv,L_wrist_yaw,50.0,1.0,699,249.32150207224367,0.09999214565032248,0.10002396106719971,-0.09999214514812856,0.007900822637971426,0.014007640917057581,44.228707091499594,0.06073141461410267,0.0625,0.9967105263157895,,,
20260904_162432,hold,lowcmd,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_162432.csv,L_shoulder_pitch,120.0,2.0,2334,244.30990474499475,0.00022478776127899666,0.00026416778564453125,-0.00022438579680272015,0.00938867317165828,0.03662882089012071,69.08506303843039,0.25949020792673183,0.3515625,0.9912109375,,,
20260904_162432,hold,lowcmd,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_162432.csv,L_shoulder_roll,120.0,2.0,2334,244.30990474499475,1.544003159701222e-05,5.1140785217285156e-05,1.1339170767286443e-05,0.012384818603982321,0.0422925798477968,35.065903208900274,0.31128300714062607,0.439453125,0.989013671875,,,
20260904_162432,hold,lowcmd,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_162432.csv,L_shoulder_yaw,80.0,1.5,2334,244.30990474499475,3.684469213867076e-05,9.369850158691406e-05,-3.200743886887159e-05,0.016912076491617134,0.028649717518661653,111.0594725511737,0.20583701225795023,0.2796519994735718,0.9844637778070238,,,
20260904_162432,hold,lowcmd,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_162432.csv,L_elbow,50.0,1.0,2334,244.30990474499475,1.8443555904567532e-05,5.9604644775390625e-05,-1.6573462204332522e-05,0.007791777416536556,0.027578269379426333,15.49180201467833,0.2555963810766764,0.3515625,0.98046875,,,
20260904_162432,hold,lowcmd,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_162432.csv,L_wrist_roll,50.0,1.0,2334,244.30990474499475,4.388100957205874e-05,0.00011968612670898438,-3.77193718969873e-05,0.007086939004230028,0.029841944655604784,102.79019985414945,0.0859791784692579,0.125,0.993421052631579,,,
20260904_162432,hold,lowcmd,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_162432.csv,L_wrist_pitch,50.0,1.0,2334,244.30990474499475,2.6144173461852537e-05,8.392333984375e-05,-1.9028131636984856e-05,0.00729702045833029,0.03246667369204363,95.67234487443238,0.09395062081578254,0.1875,0.9901315789473685,,,
20260904_162432,hold,lowcmd,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_162432.csv,L_wrist_yaw,50.0,1.0,2334,244.30990474499475,1.1589454608297723e-05,4.792213439941406e-05,-6.129523067261893e-06,0.007042071626118197,0.0282454110260622,8.897318724646338,0.0896666802050174,0.125,0.993421052631579,,,
20260904_162432,hold,lowcmd,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_162432.csv,R_shoulder_pitch,120.0,2.0,2334,244.30990474499475,7.67365043759735e-06,3.409385681152344e-05,1.0617492335825367e-06,0.008596307400988778,0.02958374894383215,31.192952705230688,0.2736805911523729,0.3515625,0.9912109375,,,
20260904_162432,hold,lowcmd,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_162432.csv,R_shoulder_roll,120.0,2.0,2334,244.30990474499475,0.0003819853041023999,0.00040912628173828125,-0.0003818889510049305,0.0073484982915939965,0.026358746303045168,9.211341738457385,0.25943918492905493,0.3515625,0.9912109375,,,
20260904_162432,hold,lowcmd,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_162432.csv,R_shoulder_yaw,80.0,1.5,2334,244.30990474499475,1.2429035717151985e-05,4.0531158447265625e-05,-2.6201527651906934e-06,0.011777763943176131,0.018936777838346942,10.467433793701574,0.1745332123133728,0.22372159361839294,0.987571022576756,,,
20260904_162432,hold,lowcmd,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_162432.csv,R_elbow,50.0,1.0,2334,244.30990474499475,6.598753841880726e-05,0.00010204315185546875,6.526029304040224e-05,0.007788181279706124,0.03723152999757039,24.598469415198696,0.25211534667287494,0.3515625,0.98046875,,,
20260904_162432,hold,lowcmd,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_162432.csv,R_wrist_roll,50.0,1.0,2334,244.30990474499475,1.4708253814407003e-05,4.792213439941406e-05,5.70825562072597e-06,0.008004688780626127,0.023710222032427362,33.077090788096974,0.1297821323802921,0.1875,0.9901315789473685,,,
20260904_162432,hold,lowcmd,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_162432.csv,R_wrist_pitch,50.0,1.0,2334,244.30990474499475,6.683859091952329e-05,0.0001437664031982422,6.051536493048059e-05,0.009971635167508942,0.030486001906378013,13.293640918000998,0.09620378457336394,0.1875,0.9901315789473685,,,
20260904_162432,hold,lowcmd,official_arm_sdk,250.0,hold_official_arm_sdk_20260904_162432.csv,R_wrist_yaw,50.0,1.0,2334,244.30990474499475,7.853110389900024e-05,0.0001437664031982422,7.541974385579427e-05,0.005696205586490619,0.026512418635676747,106.34912734400798,0.14605504018811896,0.1875,0.9901315789473685,,,
20260904_162450,step,lowcmd,official_arm_sdk,250.0,step_L_wrist_yaw_kp50_kd1.0_20260904_162450.csv,L_wrist_yaw,50.0,1.0,706,250.2404533007027,0.022403249638987106,0.10002396106719971,-0.007997648371515467,0.008119073430884145,0.005722307698956412,8.152309385150371,0.1701582593214254,2.75,0.8552631578947368,,,
20260904_162510,step,lowcmd,official_arm_sdk,250.0,step_L_elbow_kp50_kd1.0_official_arm_sdk_20260904_162510.csv,L_elbow,50.0,1.0,699,249.65823415170667,0.06405645234075767,0.15001692771911612,-0.06326334172905079,0.00777720444510584,0.02670356605771518,28.573188457992185,2.687030474419014,6.328125,0.6484375,,,
20260904_162519,step,lowcmd,xr_teleoperate,250.0,step_L_elbow_kp140_kd3.0_xr_teleoperate_20260904_162519.csv,L_elbow,140.0,3.0,695,246.26580969498912,0.03244605573876866,0.15003409385681143,-0.02939589864058451,0.0077280133018734895,0.02820864004459859,42.875054637544864,3.55531843818035,15.8203125,0.12109375,,,
20260904_162625,tune_smooth_step,lowcmd,sweep,250.0,,L_elbow,50.0,2.0,657,249.21978337126288,0.08800934255998463,0.09112062454223624,-0.08646958395568316,0.007019190334409216,0.02999050408472372,9.86257894619914,3.992726244564869,4.482421875,0.7509765625,,,
20260904_162625,tune_smooth_step,lowcmd,sweep,250.0,,L_elbow,80.0,2.0,652,247.5081384382651,0.056394047058158606,0.07915626964720923,-0.05506521950716474,0.013166022794851812,0.034994032044113804,8.731115313006285,3.973264480621008,4.306640625,0.7607421875,,,
